"","Code","MonthYear","VC","MC","VV","MV","N","Sum","Srat"
"108","AG",199812,9,0,0,3,1128,12,0.0106382978723404
"109","AG",199901,8,2,3,0,998,13,0.0130260521042084
"110","AG",199902,2,1,1,3,981,7,0.00713557594291539
"111","AG",199903,11,0,3,5,1106,19,0.0171790235081374
"112","AG",199904,9,0,2,1,1625,12,0.00738461538461538
"113","AG",199905,4,0,2,2,1125,8,0.00711111111111111
"114","AG",199906,10,5,4,0,1879,19,0.010111761575306
"115","AG",199907,14,7,5,6,3421,32,0.00935399006138556
"116","AG",199908,10,0,2,0,1601,12,0.00749531542785759
"117","AG",199909,4,2,1,0,1865,7,0.00375335120643432
"118","AG",199910,8,5,1,4,1848,18,0.00974025974025974
"119","AG",199911,5,5,4,4,1792,18,0.0100446428571429
"120","AG",199912,12,5,3,7,2195,27,0.0123006833712984
"121","AG",200001,29,43,16,33,2446,121,0.0494685200327065
"122","AG",200002,2,5,0,17,1342,24,0.0178837555886736
"123","AG",200003,5,2,0,3,1645,10,0.0060790273556231
"124","AG",200004,11,0,2,5,1689,18,0.0106571936056838
"125","AG",200005,5,1,1,10,1930,17,0.00880829015544041
"126","AG",200006,4,0,2,1,2190,7,0.00319634703196347
"127","AG",200007,4,2,1,4,1494,11,0.00736278447121821
"128","AG",200008,0,2,1,3,1223,6,0.00490596892886345
"129","AG",200009,5,1,0,3,1393,9,0.00646087580760948
"130","AG",200010,1,2,0,3,1450,6,0.00413793103448276
"131","AG",200011,5,0,0,2,1516,7,0.00461741424802111
"132","AG",200012,1,1,1,9,1634,12,0.00734394124847001
"133","AG",200101,2,0,7,3,1565,12,0.00766773162939297
"134","AG",200102,4,0,6,2,1520,12,0.00789473684210526
"135","AG",200103,2,3,6,3,1406,14,0.00995732574679943
"136","AG",200104,3,1,7,8,1848,19,0.0102813852813853
"137","AG",200105,2,3,7,1,2408,13,0.00539867109634551
"138","AG",200106,0,0,7,13,1838,20,0.0108813928182807
"139","AG",200107,8,4,3,0,1474,15,0.0101763907734057
"140","AG",200108,3,1,7,1,837,12,0.014336917562724
"141","AG",200109,0,5,2,7,1264,14,0.0110759493670886
"142","AG",200110,5,0,2,1,1924,8,0.00415800415800416
"143","AG",200111,3,0,3,5,1549,11,0.00710135571336346
"144","AG",200112,1,0,0,0,1346,1,0.000742942050520059
"145","AG",200201,1,2,0,2,1358,5,0.00368188512518409
"146","AG",200202,2,1,0,5,1393,8,0.00574300071787509
"147","AG",200203,4,1,0,5,1030,10,0.00970873786407767
"148","AG",200204,0,0,0,4,816,4,0.00490196078431373
"149","AG",200205,2,3,0,3,999,8,0.00800800800800801
"150","AG",200206,2,0,0,2,614,4,0.00651465798045603
"151","AG",200207,1,9,0,6,1266,16,0.0126382306477093
"152","AG",200208,0,0,0,6,859,6,0.0069848661233993
"153","AG",200209,2,0,0,3,795,5,0.00628930817610063
"154","AG",200210,3,0,0,1,1040,4,0.00384615384615385
"155","AG",200211,4,0,1,0,899,5,0.00556173526140156
"156","AG",200212,7,0,2,3,1685,12,0.00712166172106825
"157","AG",200301,3,0,2,7,2018,12,0.00594648166501487
"158","AG",200302,1,0,1,4,1330,6,0.00451127819548872
"159","AG",200303,1,0,0,2,1402,3,0.0021398002853067
"160","AG",200304,2,0,0,3,1278,5,0.00391236306729264
"161","AG",200305,12,1,0,11,2928,24,0.00819672131147541
"162","AG",200306,9,0,0,2,1207,11,0.00911350455675228
"163","AG",200307,1,0,2,0,1374,3,0.00218340611353712
"164","AG",200308,3,0,0,2,1698,5,0.00294464075382803
"165","AG",200309,4,2,0,0,1225,6,0.00489795918367347
"166","AG",200310,15,2,2,4,1599,23,0.0143839899937461
"167","AG",200311,0,3,1,1,1012,5,0.00494071146245059
"168","AG",200312,3,1,2,2,1456,8,0.00549450549450549
"169","AG",200401,2,1,0,2,1302,5,0.00384024577572965
"170","AG",200402,3,3,2,4,1279,12,0.00938232994526974
"171","AG",200403,4,1,0,2,1474,7,0.00474898236092266
"172","AG",200404,7,5,2,2,1331,16,0.0120210368144252
"173","AG",200405,3,3,0,1,1279,7,0.00547302580140735
"174","AG",200406,8,0,1,17,1456,26,0.0178571428571429
"175","AG",200407,6,2,0,3,1077,11,0.010213556174559
"176","AG",200408,0,0,0,2,606,2,0.0033003300330033
"177","AG",200409,2,0,0,1,654,3,0.00458715596330275
"178","AG",200410,1,2,1,3,1317,7,0.00531511009870919
"179","AG",200411,2,0,0,0,663,2,0.00301659125188537
"180","AG",200412,0,0,0,1,518,1,0.00193050193050193
"181","AG",200501,4,1,0,5,905,10,0.0110497237569061
"182","AG",200502,0,0,0,2,749,2,0.00267022696929239
"183","AG",200503,2,0,0,12,1119,14,0.0125111706881144
"184","AG",200504,0,0,1,1,789,2,0.00253485424588086
"185","AG",200505,0,0,0,3,550,3,0.00545454545454545
"186","AG",200506,1,0,0,9,605,10,0.0165289256198347
"187","AG",200507,1,0,0,1,995,2,0.00201005025125628
"188","AG",200508,0,1,0,4,656,5,0.00762195121951219
"189","AG",200509,1,1,0,3,789,5,0.00633713561470215
"190","AG",200510,0,1,1,0,754,2,0.0026525198938992
"191","AG",200511,0,0,0,2,748,2,0.00267379679144385
"192","AG",200512,1,0,0,0,571,1,0.00175131348511384
"193","AG",200601,0,0,2,0,492,2,0.0040650406504065
"194","AG",200602,3,2,0,5,669,10,0.0149476831091181
"195","AG",200603,5,0,3,14,1239,22,0.0177562550443906
"196","AG",200604,1,1,1,0,899,3,0.00333704115684093
"197","AG",200605,5,1,0,0,836,6,0.00717703349282297
"198","AG",200606,5,0,0,4,767,9,0.0117340286831812
"199","AG",200607,7,1,2,4,665,14,0.0210526315789474
"200","AG",200608,0,0,1,1,734,2,0.00272479564032698
"201","AG",200609,1,0,0,0,595,1,0.00168067226890756
"202","AG",200610,6,0,0,3,790,9,0.0113924050632911
"203","AG",200611,6,1,0,9,1156,16,0.013840830449827
"204","AG",200612,1,0,0,6,618,7,0.0113268608414239
"205","AG",200701,3,2,0,3,986,8,0.00811359026369168
"206","AG",200702,6,0,0,6,1139,12,0.0105355575065847
"207","AG",200703,2,0,3,9,1317,14,0.0106302201974184
"208","AG",200704,15,3,7,47,2888,72,0.0249307479224377
"209","AG",200705,14,7,9,15,1890,45,0.0238095238095238
"210","AG",200706,1,4,4,2,1410,11,0.00780141843971631
"211","AG",200707,4,1,6,26,1858,37,0.0199138858988159
"212","AG",200708,4,0,0,2,1015,6,0.00591133004926108
"213","AG",200709,28,7,2,41,2663,78,0.0292902741269245
"214","AG",200710,6,0,0,6,1292,12,0.00928792569659443
"215","AG",200711,14,1,2,2,1527,19,0.0124426981008513
"216","AG",200712,10,5,6,55,4804,76,0.0158201498751041
"217","AG",200801,6,0,1,28,1769,35,0.0197851893725269
"218","AG",200802,4,0,2,7,1510,13,0.00860927152317881
"219","AG",200803,6,2,1,15,1894,24,0.0126715945089757
"220","AG",200804,6,0,4,4,1011,14,0.0138476755687438
"221","AG",200805,18,2,0,8,1191,28,0.0235096557514694
"222","AG",200806,11,2,4,23,2432,40,0.0164473684210526
"223","AG",200807,11,0,2,17,1457,30,0.0205902539464653
"224","AG",200808,10,3,2,91,2082,106,0.0509125840537944
"225","AG",200809,1,1,0,12,1215,14,0.011522633744856
"226","AG",200810,1,0,2,1,1498,4,0.00267022696929239
"227","AG",200811,0,2,0,3,2200,5,0.00227272727272727
"228","AG",200812,4,0,2,5,2117,11,0.00519603212092584
"229","AG",200901,8,1,0,10,1902,19,0.00998948475289169
"230","AG",200902,12,6,6,9,2507,33,0.0131631431990427
"231","AG",200903,1,0,0,21,1999,22,0.0110055027513757
"232","AG",200904,10,2,5,9,2719,26,0.00956233909525561
"233","AG",200905,12,4,0,5,2017,21,0.0104115022310362
"234","AG",200906,1,0,1,19,1957,21,0.0107307102708227
"235","AG",200907,1,2,5,24,1975,32,0.0162025316455696
"236","AG",200908,3,1,1,19,2547,24,0.0094228504122497
"237","AG",200909,5,0,0,0,2053,5,0.00243546030199708
"238","AG",200910,11,3,0,11,1773,25,0.0141003948110547
"239","AG",200911,1,2,0,2,1404,5,0.00356125356125356
"240","AG",200912,0,0,1,2,1951,3,0.00153767298821117
"241","AG",201001,12,6,1,13,2801,32,0.0114244912531239
"242","AG",201002,4,0,0,5,2000,9,0.0045
"243","AG",201003,4,0,0,0,779,4,0.00513478818998716
"244","AG",201004,5,1,1,1,1487,8,0.00537995965030262
"245","AG",201005,3,0,0,0,1036,3,0.0028957528957529
"246","AG",201006,1,0,0,2,669,3,0.00448430493273543
"247","AG",201007,1,2,1,13,1208,17,0.0140728476821192
"248","AG",201008,3,1,2,9,1590,15,0.00943396226415094
"249","AG",201009,11,6,5,8,3255,30,0.00921658986175115
