"Code","MonthYear","VC","MC","VV","MV"
"AG",200708,4,0,0,2
"AG",200709,28,7,2,41
"AG",200710,6,0,0,6
"AG",200711,14,1,2,2
"AG",200712,10,5,6,55
"AG",200801,6,0,1,28
"AG",200802,4,0,2,7
"AG",200803,6,2,1,15
"AG",200804,6,0,4,4
"AG",200805,18,2,0,8
"AG",200806,11,2,4,23
"AG",200807,11,0,2,17
"AG",200808,10,3,2,91
"AG",200809,1,1,0,12
"AG",200810,1,0,2,1
"AG",200811,0,2,0,3
"AG",200812,4,0,2,5
"AG",200901,8,1,0,10
"AG",200902,12,6,6,9
"AG",200903,1,0,0,21
"AG",200904,10,2,5,9
"AG",200905,12,4,0,5
"AG",200906,1,0,1,19
"AG",200907,1,2,5,24
"AG",200908,3,1,1,19
"AG",200909,5,0,0,0
"AG",200910,11,3,0,11
"AG",200911,1,2,0,2
"AG",200912,0,0,1,2
"AG",201001,12,6,1,13
"AG",201002,4,0,0,5
"AG",201003,4,0,0,0
"AG",201004,5,1,1,1
"AG",201005,3,0,0,0
"AG",201006,1,0,0,2
"AG",201007,1,2,1,13
"AG",201008,3,1,2,9
"AG",201009,11,6,5,8
"AG",201010,10,0,0,1
"AG",201011,11,0,0,5
"AG",201012,1,0,1,1
"AG",201101,1,0,7,7
"AG",201102,15,3,42,24
"AG",201103,14,4,6,19
"AG",201104,30,10,24,20
"AG",201105,7,1,2,13
"AG",201106,34,0,15,34
"AG",201107,17,0,8,30
"AG",201108,156,56,107,257
"AG",201109,38,32,17,20
"AG",201110,27,4,6,7
"AG",201111,6,3,0,9
"AG",201112,8,1,3,6
"AG",201201,7,2,0,18
"AG",201202,7,1,9,20
"AG",201203,6,1,2,8
"AG",201204,12,6,7,14
"AG",201205,35,2,11,11
"AG",201206,5,0,3,14
"AG",201207,18,11,3,6
"AG",201208,9,1,5,4
"AG",201209,3,1,2,19
"AG",201210,16,1,7,12
"AG",201211,27,3,9,17
"AG",201212,28,7,2,5
"AG",201301,75,21,23,66
"AG",201302,32,5,10,30
"AG",201303,13,3,4,36
"AG",201304,19,6,6,5
"AG",201305,14,8,6,26
"AG",201306,5,0,3,6
"AG",201307,29,2,12,27
"AG",201308,7,2,14,15
"AG",201309,7,0,2,8
"AG",201310,14,6,7,3
"AG",201311,12,2,3,5
"AG",201312,6,3,1,9
"AG",201401,10,2,0,7
"AG",201402,18,12,15,1
"AG",201403,12,11,8,2
"AG",201404,15,6,35,42
"AG",201405,12,2,2,5
"AG",201406,23,0,0,11
"AG",201407,40,5,6,43
"AG",201408,5,0,4,7
"AG",201409,16,5,6,13
"AG",201410,8,2,3,13
"AG",201411,26,0,1,13
"AG",201412,0,0,0,0
"AO",199001,19,0,3,10
"AO",199002,8,2,2,6
"AO",199003,4,0,5,11
"AO",199004,10,0,2,10
"AO",199005,3,1,2,12
"AO",199006,4,2,0,3
"AO",199007,9,0,1,2
"AO",199008,2,0,0,1
"AO",199009,5,0,1,1
"AO",199010,8,0,1,9
"AO",199011,10,3,2,10
"AO",199012,7,0,3,9
"AO",199101,3,0,0,1
"AO",199102,8,1,0,1
"AO",199103,0,0,0,4
"AO",199104,1,0,1,2
"AO",199105,44,6,3,14
"AO",199106,19,2,1,0
"AO",199107,5,0,0,3
"AO",199108,12,1,2,0
"AO",199109,15,3,4,1
"AO",199110,2,0,1,1
"AO",199111,6,3,4,2
"AO",199112,0,0,0,1
"AO",199201,5,0,4,3
"AO",199202,2,0,0,0
"AO",199203,1,0,4,1
"AO",199204,4,1,5,0
"AO",199205,7,0,1,0
"AO",199206,6,4,2,2
"AO",199207,5,0,0,3
"AO",199208,6,0,1,0
"AO",199209,17,0,7,10
"AO",199210,15,2,12,1
"AO",199211,21,4,6,16
"AO",199212,16,6,6,5
"AO",199301,26,4,24,71
"AO",199302,21,3,4,29
"AO",199303,19,4,12,49
"AO",199304,22,4,5,13
"AO",199305,29,7,15,31
"AO",199306,15,1,2,27
"AO",199307,5,2,3,37
"AO",199308,17,15,5,20
"AO",199309,23,2,5,24
"AO",199310,23,6,2,18
"AO",199311,12,0,1,15
"AO",199312,18,4,4,9
"AO",199401,20,1,1,13
"AO",199402,21,4,14,39
"AO",199403,13,4,0,15
"AO",199404,8,4,0,11
"AO",199405,8,2,2,7
"AO",199406,23,4,4,27
"AO",199407,14,4,3,12
"AO",199408,12,1,2,6
"AO",199409,10,2,4,10
"AO",199410,15,3,11,23
"AO",199411,180,16,31,71
"AO",199412,20,2,5,11
"AO",199501,23,3,4,16
"AO",199502,19,2,3,2
"AO",199503,16,0,4,21
"AO",199504,8,0,1,4
"AO",199505,26,0,6,11
"AO",199506,23,9,0,2
"AO",199507,23,0,3,3
"AO",199508,20,0,5,2
"AO",199509,7,7,0,5
"AO",199510,9,0,0,1
"AO",199511,14,0,0,2
"AO",199512,6,3,2,5
"AO",199601,33,2,4,4
"AO",199602,11,2,1,8
"AO",199603,5,1,2,0
"AO",199604,3,2,0,1
"AO",199605,16,6,0,3
"AO",199606,4,0,4,5
"AO",199607,9,3,4,2
"AO",199608,4,2,0,1
"AO",199609,1,0,1,5
"AO",199610,6,0,1,2
