"","M1","M2","M3","Best","Worst"
"2013-01-01",56.2754598981358,27.1268014621938,24.8314770328782,"M3","M2"
"2013-02-01",21.3361914947773,16.1456949493096,18.7881703170575,"M2","M3"
"2013-03-01",36.3616179126615,28.4127658309013,33.0067540142189,"M2","M3"
"2013-04-01",18.4678915058254,30.0648104081068,27.051086387411,"M1","M2"
"2013-05-01",16.8629190056692,23.52150108956,14.3994739117139,"M3","M2"
"2013-06-01",13.6923410637764,21.0768219062277,18.7557635943483,"M1","M2"
"2013-07-01",42.0840102028607,32.3038806393195,29.4228001023636,"M3","M2"
"2013-08-01",23.2715331721878,24.0710991711071,19.3199550129775,"M3","M2"
"2013-09-01",32.5615218374333,31.13678366278,27.022376396992,"M3","M2"
"2013-10-01",46.0541698006937,34.5353084757823,33.479360739056,"M3","M2"
"2013-11-01",41.0819271695987,32.2950994381588,29.0847417717622,"M3","M2"
"2013-12-01",49.1156155384413,25.5674441815022,29.2815393078049,"M2","M3"
"2014-01-01",31.4233973163179,22.6974308278953,18.3029779695987,"M3","M2"
"2014-02-01",19.6493574240114,23.4545083136769,18.053498907171,"M3","M2"
"2014-03-01",20.4174582499502,21.5381834861658,24.7248816738974,"M1","M3"
"2014-04-01",140.813450631039,28.5503563943026,28.0379977624215,"M3","M2"
"2014-05-01",38.0397243587544,24.7424919919969,25.6564656027333,"M2","M3"
"2014-06-01",52.0151463596323,31.2304296424933,22.5740249465865,"M3","M2"
"2014-07-01",98.5161446099004,29.6740162223878,28.4272405643003,"M3","M2"
"2014-08-01",92.9192110839934,28.4956448392234,16.121423846037,"M3","M2"
"2014-09-01",37.9231130859967,33.3845449705547,36.8781350237746,"M2","M3"
"2014-10-01",30.9158205005444,21.856477285317,17.4096061506963,"M3","M2"
"2014-11-01",61.2422493699398,40.005527010714,50.1286217529718,"M2","M3"
