"Z","Lat","Lon"
7,-1.8912,30.5503
1,-1.8921,30.4532
3,-1.90122,36.287
2,-1.9025,29.4159
3,-1.9025,29.927
1,-1.90305,37.575
1,-1.9049,29.9236
3,-1.90542,40.7313
1,-1.9063,29.7911
11,-1.912,29.8853
1,-1.914,29.2878
2,-1.916,29.9939
1,-1.91667,30.0833
50,-1.9193,29.4006
1,-1.92111,15.0292
189,-1.9212,30.0164
1,-1.9305,30.1323
2,-1.9316,29.7531
4,-1.93333,36.8833
5,-1.9342,30.0827
2,-1.9342,30.545
370,-1.9347,29.878
7,-1.9359,30.3477
2,-1.9388,29.626
2,-1.9396,30.1017
4,-1.9424,30.0203
1,-1.9425,30.0341
3,-1.9439,29.773
1,-1.9458,29.924
1,-1.9468,29.7942
2,-1.9503,29.9855
1,-1.9524,30.0761
4188,-1.95361,30.0606
3,-1.9546,30.061
1,-1.9547,30.0567
4,-1.955,28.5236
2,-1.9555,29.9445
2,-1.9583,30.0931
10,-1.9616,29.9162
1,-1.9658,29.7865
2,-1.96667,41.2961
1,-1.971,30.1013
1,-1.9747,29.8119
2,-1.977,30.1118
2,-1.977,30.1292
2,-1.97738,29.8001
8,-1.9813,29.7648
4,-1.9823,29.9557
5,-1.9844,29.388
6,-1.9915,29.8109
3,-1.9937,30.1583
3621,-1,15
18,-1,29.6667
1,-1,29.8167
11,-1,33
1,-10.0172,31.6193
2,-10.0325,29.1645
2,-10.05,32.4167
1,-10.0838,14.9261
2,-10.1167,30.9167
8,-10.1333,22.35
1,-10.1333,30.8
3,-10.1606,32.6335
5,-10.1916,15.4341
1,-10.2,25.3833
4,-10.2129,31.1808
1,-10.2333,38.9333
1,-10.25,22.2
19,-10.2545,33.4195
18,-10.2592,20.6249
1,-10.2667,40.1833
18,-10.3667,28.6333
11,-10.3833,38.7667
2,-10.4289,30.1497
1,-10.4333,14.0105
2,-10.4667,24.4833
1,-10.5,13.7667
4,-10.5,22.8167
10,-10.5414,32.0816
1,-10.5435,33.5229
11,-10.55,30.6667
1,-10.55,31.4667
5,-10.5798,32.0142
130,-10.6333,28.65
1,-10.6333,29.7667
3,-10.647,31.9398
4,-10.6502,30.2052
253,-10.7067,40.6328
17,-10.7167,25.4725
1,-10.7314,13.7599
1,-10.7575,30.8068
2,-10.8004,17.6746
3,-10.8172,14.4497
8,-10.827,15.032
2,-10.8515,14.3799
1,-10.8814,29.9651
1,-10.8833,28.9333
1,-10.9167,27.9
3,-10.9316,19.1513
3,-10.9504,14.7548
9,-10.9814,26.7333
2,-11.0095,15.0786
1,-11.0102,28.815
1,-11.0143,14.87
2,-11.0229,23.5352
5,-11.0772,39.6744
2,-11.1,23.8333
6,-11.1,23.9833
1,-11.1167,32.15
2,-11.1324,24.1268
3,-11.1423,16.5996
3,-11.1431,14.8897
2,-11.1547,29.9634
1,-11.1861,14.7855
5,-11.1998,28.8943
1,-11.2012,31.7336
13,-11.206,13.8437
1,-11.2189,40.2511
2,-11.2362,24.2775
2,-11.2364,22.7497
1,-11.2957,16.2344
2,-11.3147,14.4304
8,-11.3167,40.35
1,-11.3175,16.6435
3,-11.3228,16.1959
3,-11.3417,16.559
111,-11.3458,40.3522
1,-11.3564,16.2394
4,-11.3634,15.1208
1,-11.3649,29.5565
5,-11.3667,16.4333
1,-11.3667,40.3167
2,-11.4167,14.95
3,-11.4251,17.0843
1,-11.4254,14.3127
6,-11.4333,26.75
29,-11.4583,40.1164
8,-11.4599,24.5543
3,-11.4667,28.7333
2,-11.4751,16.965
1,-11.4804,17.1035
7,-11.4867,31.2829
44,-11.4868,16.6966
2,-11.5,29
1,-11.5132,16.7449
3,-11.5167,15.5333
1,-11.5167,15.55
3,-11.5333,15.4
1,-11.5639,39.5369
2,-11.5667,27.4167
13,-11.5741,24.8593
1,-11.5906,35.3978
25,-11.622,16.5445
3,-11.6264,35.8692
5,-11.6628,39.5506
546,-11.6667,27.4667
1,-11.7,14.3833
1,-11.7167,33.1667
2,-11.7522,16.9456
7,-11.7667,27.2333
2,-11.7769,14.5568
1,-11.7831,14.5095
66,-11.7833,19.9167
2,-11.7878,39.9144
27,-11.8,20.7
3,-11.8,27.2
2,-11.8128,37.9861
4,-11.8148,16.8222
7,-11.8333,16.2333
2,-11.8343,31.4529
2,-11.8497,40.0836
1,-11.85,20.0333
1,-11.85,20.65
1,-11.8773,27.1091
1,-11.9,19.9833
1,-11.9056,39.8131
1,-11.9119,14.753
4,-11.9319,40.1103
6,-11.9397,37.8139
13,-11,29
9,-12.0167,17.4833
1,-12.0333,14.9667
2,-12.0333,17.6333
2,-12.0517,40.4878
1,-12.053,15.322
3,-12.0667,14.4833
2,-12.0667,15.85
2,-12.0833,15.5333
1,-12.095,13.9386
1,-12.1,26.4333
1,-12.1492,15.039
4,-12.15,18.0833
4,-12.1667,18.55
17,-12.1688,26.3894
8,-12.1975,27.7978
1,-12.2167,21.8333
4,-12.2333,15.3
10,-12.2333,16.7833
1,-12.2333,33.25
9,-12.2371,15.317
1,-12.2461,40.1611
1,-12.25,15.9833
2,-12.2833,32.5
2,-12.2929,33.1782
2,-12.3,15.2667
1,-12.3028,13.6197
1,-12.3072,14.837
1,-12.3385,16.0399
8,-12.3526,14.7282
5,-12.3543,14.7723
13,-12.3667,40.3
247,-12.3833,16.9333
2,-12.3862,16.4349
75,-12.4,22.5667
3,-12.4155,16.4035
2,-12.4167,14.4
3,-12.4184,15.271
4,-12.4278,15.1527
4,-12.4311,14.785
14,-12.4333,14.1
12,-12.45,14.0333
1,-12.4578,13.4839
2,-12.4588,14.514
1,-12.4651,16.2947
1,-12.4667,15.9333
2,-12.4761,16.1187
8,-12.4842,36.1836
15,-12.5,15.6667
2,-12.5,17
1957,-12.5,18.5
8,-12.5167,14.3167
5,-12.5167,20.8167
1,-12.52,15.4969
1,-12.5333,19.9167
11,-12.5498,28.2407
134,-12.5506,40.2775
4,-12.5656,39.0328
88,-12.5783,13.4072
1,-12.5994,35.8169
5,-12.5997,13.2047
4,-12.6158,34.8619
1,-12.6424,30.7691
1,-12.6789,15.5056
20,-12.6833,17.3167
6,-12.7,17.7
1,-12.7167,14.3833
2,-12.7189,13.4658
1,-12.7436,15.6506
1,-12.75,28.5667
1,-12.7667,18.1333
419,-12.7761,15.7392
3,-12.7833,14.4167
4,-12.7961,28.2477
2,-12.8167,14.9333
2,-12.8263,28.2047
5,-12.85,15.0667
1,-12.8664,35.1856
4,-12.8667,15.0667
8,-12.8706,13.9728
1,-12.8828,35.0347
293,-12.9036,39.7069
8,-12.9067,15.2533
4,-12.9333,28.6091
6,-12.95,14.75
1,-12.95,28.7667
4,-12.9517,13.1025
18,-12.9547,39.8075
11,-12.9587,28.6366
54,-12.9608,40.5078
2,-12.9667,29.9833
3,-12.9714,40.3964
14,-12.9767,39.855
3,-12.9833,14.15
2,-12.9833,14.8833
4,-12.9886,13.9664
4,-12,15.7167
12,-12,27
6,-13.0167,14
1,-13.0167,23.5833
1,-13.0167,28.7667
4,-13.0168,28.6949
1,-13.0317,39.4656
1,-13.0397,30.0103
1,-13.0439,32.5754
4,-13.0667,16.75
34,-13.0667,22.6833
2,-13.0675,15.3992
8,-13.0833,22.1333
1,-13.0899,25.1377
3,-13.1167,15.1667
2,-13.1253,38.4147
1,-13.1667,22.8
2,-13.1667,23.1
1,-13.1745,30.6483
1,-13.1833,29.9333
3,-13.1847,15.5467
1,-13.2,30.6
3,-13.2167,22.6667
1,-13.2444,15.6414
116,-13.2667,21.25
1,-13.2667,28.35
2,-13.2694,31.808
2,-13.2833,16.6833
6,-13.2881,40.5578
29,-13.3128,35.2406
4,-13.3614,35.4094
8,-13.3825,39.7817
5,-13.4,15.4167
1,-13.4047,40.0206
1,-13.4167,22.7333
2,-13.4178,37.9439
1,-13.4333,18.8667
1,-13.5,28.1667
8,-13.5091,28.155
2,-13.5333,16.0167
10,-13.5432,23.1047
2,-13.55,13.5833
15,-13.55,32.4
1,-13.5667,13.95
1,-13.5927,24.2008
1,-13.6108,38.8042
2,-13.6167,22.8333
2,-13.6333,15.95
2,-13.6333,32.65
1,-13.65,19.9667
1,-13.6717,35.5886
5,-13.6833,19.8667
1,-13.6906,40.5331
1,-13.7147,39.8242
1,-13.7297,23.4518
43,-13.75,14.5333
2,-13.7838,32.741
1,-13.8416,32.4663
6,-13.8836,37.1589
1,-13.9122,40.335
3,-13.93,37.1392
19,-13.935,39.2069
2,-13,25
4,-13,28
8,-13,32.25
3,-14.0167,22.3333
7,-14.0233,37.8406
1,-14.026,32.8813
1,-14.05,30.3667
3,-14.058,32.6443
1,-14.1017,21.4353
2,-14.1167,13.25
1,-14.1167,32.3833
94,-14.1333,14.5
6,-14.1333,14.9167
3,-14.1333,31.2
1,-14.15,12.3667
1,-14.1667,18.3667
122,-14.1989,37.4967
1,-14.1996,31.808
1,-14.2,21.75
6,-14.2017,38.6019
3,-14.2167,35.6667
3,-14.2167,40.55
4,-14.2426,31.3253
4,-14.2564,35.8581
9,-14.2667,23.3
2,-14.35,27.0333
5,-14.3549,29.3629
2,-14.3667,31.3333
4,-14.3703,39.9203
21,-14.3878,38.3444
2,-14.4167,28.4167
1,-14.4333,15.0667
4,-14.4333,18.8833
5,-14.4432,28.4517
3,-14.45,31.45
10,-14.4667,16.3
20,-14.4749,26.705
7,-14.4954,27.1416
1,-14.5183,40.7978
5,-14.5303,34.0858
2,-14.5392,40.6708
3,-14.5422,40.6711
3,-14.5428,40.6728
1,-14.5435,27.492
14,-14.5521,15.6164
2,-14.5536,40.625
3,-14.5633,34.1886
2,-14.5778,39.575
2,-14.6044,40.6456
1,-14.6167,30.65
1,-14.627,14.3344
2,-14.6517,38.0236
1,-14.6539,40.4983
12,-14.6552,17.6447
8,-14.6558,38.8908
24,-14.6616,17.6882
2,-14.6667,26.4
4,-14.7228,34.3608
2,-14.7309,13.3456
2,-14.7381,17.6881
6,-14.7667,22.4167
6,-14.7714,37.0411
2,-14.7723,24.9359
3,-14.7762,26.1811
8,-14.7794,38.6164
4,-14.7833,24.75
7,-14.7925,32.8361
12,-14.8193,27.7658
58,-14.8227,14.4326
2,-14.8253,14.5461
3,-14.8667,13.1034
1,-14.874,13.1589
4,-14.8864,38.0311
4,-14.8925,39.6303
1,-14.9014,32.2542
20,-14.9167,13.5
7,-14.9169,40.3022
7,-14.9196,14.453
6,-14.9206,39.9836
1,-14.9253,37.8422
2,-14.9264,39.2167
1,-14.9333,23.9667
12,-14.9428,38.3217
1,-14.9511,39.2839
8,-14.9678,40.6639
2,-14.97,22.6814
6,-14.9925,39.8467
2,-14,29
1,-15.0169,12.28
6,-15.0289,34.5058
27,-15.0342,40.7358
2,-15.0381,37.8336
2,-15.0383,22.1522
5,-15.0456,37.755
1,-15.05,22.85
10,-15.0631,31.005
46,-15.0667,13.55
2,-15.0733,39.0217
1,-15.0772,40.0886
3,-15.0833,40.6333
1,-15.0853,39.29
2,-15.1167,16.0833
5,-15.1167,31.3667
3,-15.1169,39.185
758,-15.1197,39.2647
1,-15.1253,36.2569
2,-15.1358,36.6133
2,-15.1367,39.0339
3,-15.15,15.5833
1,-15.15,23.1667
1,-15.15,29.8833
2,-15.1515,29.7501
19,-15.1611,34.5594
9,-15.1667,19.1833
1,-15.1667,28.8833
13,-15.1667,30.75
6,-15.1936,12.1125
17,-15.1961,12.1522
1,-15.2,29.25
2,-15.2,35.8667
3,-15.2281,30.9536
1,-15.2333,38.4342
15,-15.2484,23.1274
2,-15.25,16.0667
1,-15.25,25.2667
1,-15.2622,40.5256
2,-15.3292,28.682
6,-15.3333,26.3833
2,-15.35,24.1667
1,-15.3614,33.1792
5,-15.4,28.3333
2044,-15.4167,28.2833
3,-15.4167,28.35
1,-15.4167,29
1,-15.4333,23.25
4,-15.45,28.3333
1,-15.45,28.55
7,-15.4569,38.6772
5,-15.4667,20.2167
2,-15.4667,23.1333
2,-15.4669,36.9778
1,-15.5167,28.2333
1,-15.55,23.5833
7,-15.5622,33.2897
24,-15.5667,32.8333
23,-15.5706,40.4117
2,-15.5958,32.7647
6,-15.5972,34.4475
1,-15.6006,38.725
1,-15.6036,39.9433
4,-15.6089,33.8411
8,-15.6142,39.9575
3,-15.6167,30.4167
4,-15.6183,30.4469
10,-15.6356,37.6883
3,-15.65,25.2667
1,-15.6667,23.6167
6,-15.6833,39.3
112,-15.6981,38.2836
22,-15.7667,26.3167
2,-15.8,11.85
31,-15.8,20.35
3,-15.8061,31.7508
1,-15.8185,27.5122
2,-15.8267,37.5606
1,-15.8503,36.4833
1,-15.856,27.748
1,-15.8567,32.4075
3,-15.8797,28.0835
3,-15.9,28.6
2,-15.9458,40.1047
25,-15.9476,19.3832
5,-15.9539,36.8678
2,-15.9669,33.1539
1,-15.9681,30.5903
41,-15.9731,39.7578
25,-15,24
524,-15,30
5,-15,36.6597
2,-16.0167,21.8667
1,-16.0731,33.9506
24,-16.0986,35.77
2,-16.1,24.0833
38,-16.1153,33.7294
1,-16.1167,23.2667
2,-16.145,38.3711
192,-16.1564,33.5867
3,-16.1564,39.8342
1,-16.1658,33.1767
4,-16.1814,33.6278
7,-16.1984,30.9797
52,-16.2022,38.4728
1,-16.2167,28.15
76,-16.2325,39.9086
3,-16.2333,23.25
3,-16.2374,27.7405
2,-16.2908,36.1372
3,-16.2969,33.4214
1,-16.3,37.6
1,-16.327,31.1396
5,-16.3422,27.6776
11,-16.3656,39.7533
2,-16.397,23.3196
1,-16.3985,29.7039
11,-16.4056,36.5064
3,-16.4136,39.475
11,-16.4278,36.7431
2,-16.4497,33.525
3,-16.4741,24.9402
5,-16.5,27
17,-16.5101,15.4353
1,-16.5167,28.7667
15,-16.5167,28.8
3,-16.5272,29.9841
1,-16.5314,33.3886
2,-16.5333,16.3833
2,-16.5382,28.7088
4,-16.5639,31.5841
4,-16.5667,33.2
1,-16.5833,29.8333
5,-16.5868,29.8218
1,-16.5928,31.661
3,-16.6389,32.022
1,-16.6433,31.3194
6,-16.6575,30.703
2,-16.6874,30.8732
9,-16.6933,36.6903
2,-16.7215,29.7663
1,-16.7328,34.1703
6,-16.736,27.8882
2,-16.7489,30.2895
1,-16.7667,27.4167
8,-16.7725,31.5838
1,-16.7776,31.5625
17,-16.8364,33.2739
42,-16.8375,36.9856
7,-16.8539,37.7264
1,-16.8719,34.4211
